Timestamp,1.Which region of India are you from?,2.Which type of location do you live in?,3.Which tech are you currently using?,4.Can you send an email with no attachments and just paragraphs of text instantly?,5.Are one-on-one video calls a smooth experience?,6.Do you experience delays in video conference calls?,7.How long does it take you to download a song of 4 minutes?,8.How much data do you use each month?,9.What do you usually do with your phone? (Multiple choices),10.What do you think about the call drop rate? ,11.Which network are you likely to recommend to a tourist who is in town for a few days?,12.Which network do you use more often?,13-VI.Why do you use your current network?,14-VI.How much are you paying for your mobile bill & WiFi services per month currently?,"15-VI.If Airtel lowers its price a little, or if Jio provides higher quality services, will you switch?",16-VI.Rate the service quality,13-Jio.Why do you use your current network?,14-Jio.How much are you paying for your mobile bill & WiFi services per month currently?,"15-Jio.If VI lowers its price for services to the same level as Jio, will you switch to VI?",16-Jio.Rate the service quality,13-Airtel.Why do you use your current network?,14-Airtel.How much are you paying for your mobile bill & WiFi services per month currently?,"15-Airtel.If VI lowers its price for services to the same level as Airtel, will you switch to VI?","16-Airtel.If VI provides higher quality services with a higher price as compared to Airtel, will you switch to VI?",17-Airtel.Rate the service quality,18.How much support do you think these companies are obtaining from the government?,19.Do you think the telecommunications market in India is tilting towards a monopoly?
11/22/2021 18:52:56,West,Urban,4G,Yes,Yes,No,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies",9,Airtel,Airtel,,,,,,,,,High quality,Rs. 1000-3000,No,Maybe,9,6,No
11/22/2021 19:14:13,West,Suburban,4G,Yes,No,Yes,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Reading, Online Meeting, Filming/Video Production, Movies",6,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,Maybe,8,8,Yes
11/22/2021 19:21:38,West,Suburban,4G,Yes,No,Yes,Less than 1 min,1GB to 10GB,"Social Media and Instant messaging, Online Shopping, Gaming, Online Meeting, Movies",8,Vodafone Idea (VI),Vodafone Idea (VI),Others,Rs. 1000-3000,I will switch to Jio,8,,,,,,,,,,7,Yes
11/22/2021 19:35:10,North,Urban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies, Others",1,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,No,9,10,Yes
11/22/2021 19:54:25,West,Urban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies, Others",9,Airtel,Airtel,,,,,,,,,Low price,Less than Rs. 1000,No,No,9,8,No
11/22/2021 20:04:36,West,Urban,3G,Yes,Yes,No,1 min to 2 mins,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Online Meeting, Filming/Video Production",7,Jio,Jio,,,,,Low price,Less than Rs. 1000,No,7,,,,,,4,Yes
11/22/2021 20:56:41,West,Suburban,4G,Yes,Yes,No,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Gaming, Online Meeting",5,Jio,Jio,,,,,High quality,Less than Rs. 1000,Maybe,5,,,,,,7,Yes
11/22/2021 21:01:36,North,Urban,4G,Yes,Yes,Yes,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Others",9,Airtel,Airtel,,,,,,,,,High quality,Rs. 1000-3000,No,No,9,4,Yes
11/22/2021 21:49:52,West,Urban,4G,Yes,Yes,Yes,Less than 1 min,10GB to 50GB,Social Media and Instant messaging,8,Airtel,Jio,,,,,High quality,Rs. 1000-3000,Yes,7,,,,,,7,Yes
11/22/2021 22:37:44,North,Rural,4G,No,No,Yes,5 mins to 10 mins,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Online Meeting, Movies, Others",3,Jio,Airtel,,,,,,,,,Low price,Less than Rs. 1000,No,No,2,5,Yes
11/22/2021 23:51:19,West,Urban,4G,Yes,Yes,No,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Meeting",5,Airtel,Airtel,,,,,,,,,High quality,Rs. 1000-3000,Yes,Yes,6,5,Yes
11/23/2021 1:13:47,West,Suburban,4G,No,No,Yes,1 min to 2 mins,1GB to 10GB,"Social Media and Instant messaging, Online Shopping, Gaming, Others",3,Jio,Vodafone Idea (VI),Others,Less than Rs. 1000,I will switch to Jio,5,,,,,,,,,,6,Yes
11/23/2021 14:50:27,South,Urban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Meeting, Movies",8,Airtel,Airtel,,,,,,,,,High quality,Rs. 1000-3000,Maybe,Maybe,9,7,No
11/23/2021 15:18:27,North,Urban,4G,Yes,No,Yes,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies, Others",8,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,Maybe,9,8,Yes
11/23/2021 17:33:13,West,Suburban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Gaming, Online Meeting, Filming/Video Production, Movies",9,Airtel,Vodafone Idea (VI),High quality,Less than Rs. 1000,I will not switch,9,,,,,,,,,,7,No
11/23/2021 20:24:58,East,Urban,3G,Yes,No,Yes,5 mins to 10 mins,100MB to 1GB,"Social Media and Instant messaging, Online Shopping, Online Meeting, Movies",7,Jio,Jio,,,,,Low price,Rs. 1000-3000,Yes,9,,,,,,9,Yes
