Tweet,Actual_Sentiment,Predicted_Sentiment
#BREAKING Two-time Olympic medalist #PVSindhu was chosen as the flag bearer of the Indian contingent for the opening ceremony of the #CommonwealthGames2022 in Birmingham  @birminghamcg22 @WeAreTeamIndia @Pvsindhu1 #CWG2022 #TeamIndia  https://t.co/oxMNgQvNrE,neutral,neutral
Superb win for India 🇮🇳 Making Sunday great.  #India beat #Pakistan  #INDvPAK #Cheer4India #TeamIndia #CWG2022 #CWG #CommonwealthGames #CommonwealthGames22 #CommonwealthGames2022  https://t.co/nGRRn2mPMk,positive,positive
 https://t.co/L3cRWGIrdW  Commonwealth Games 2022 officially declared open  #CommonwealthGames2022 #CWG2022  https://t.co/fTLWzIugX8,neutral,neutral
Congratulations Champion #MirabaiChanu for Winning Gold 🥇 Medal in #CWG2022 #CWG2022India  https://t.co/cd6eMnB6uE,positive,positive
News Flash: CWG | Boxing: Lovlina Borgohain advances to QF (70kg) with unanimous verdict win over Kiwi pugilist in 1st round.  👉 Lovlina will take on Welsh pugilist on Wednesday.  #CWG2022India #CWG2022  https://t.co/qnQcRk5FaQ,positive,positive
Barbados bowled out for 64 by Australia 😮  #B2022 #BARvsAUS #CWG2022  https://t.co/IFr1KaMqny,neutral,neutral
CWG Gold Medalist Jeremy Reveals Story Behind His Tattoo  #JeremyLalrinnunga #CWG2022 #CWGGoldWinner #IndiaWeightlifter #JeremyTattoo   https://t.co/RifuEBhocK,neutral,neutral
"#CWG2022 #B2022   The Indian shuttlers in Birmingham will be expected to deliver a few medals given the quality in their squad.   @aparnapopat speaks to @aditya_c19 about the contingent for our preview, starting from Sindhu to Treesa-Gayatri.  Do read:   https://t.co/MTgoRidBWT",neutral,positive
Mirabai Chanu should be our role model not so called Bollywood star !!  Proud Indian girl won first gold medal 🥇 for India 🇮🇳 in #CWG2022!  #CommonwealthGames2022  https://t.co/PGs6eR6BDt,positive,positive
It’s the #CommonwealthGames2022 opening ceremony tonight - inspiring for everyone! Earlier this year we dropped Perry (CWG mascot) off at lots of schools- pupils will see him on tv and know his name! #CWG2022 #Birmingham2022 #perry  https://t.co/4kKrHoKdUI,positive,neutral
Fire in eyes and confidence on face. Hats off to you #MirabaiChanu ❤️🔥 #CommonwealthGames  #CommonwealthGames22  #Gold #CWG2022,positive,positive
🇮🇳India’s 2nd 🥇GOLD  For Jeremy Lalrinnunga in Men's Weightlifting (67 kg)  #CWG2022   #TeamIndia #B2022 #cheer4India #JeremyLalrinnunga #weightlifting  https://t.co/x3PYxiiVQh,neutral,neutral
"एक औऱ सोना, बधाई, धन्यवाद..!  19 वर्षीय जेरेमी लालरिननुंगा ने #TeamIndia को #CommonwealthGames2022 के #weightlifting में दूसरा गोल्ड दिला दिया है।  #JeremyLalrinnunga #CWG2022 #Cheer4India  https://t.co/SJotnOEO2R",neutral,neutral
Mirabai Chanu is in action at the moment in the Women's 49Kg - Final. Mirabai Chanu to start with the weight of 80kg.  #CWG2022 #B2022,neutral,positive
tanlai dah menang first set !  #CWG2022,neutral,neutral
Congratulations!! #AchintaSheuli for lifting record 313 kg in Men's 73kg #weightlifting event in #CWG2022 winning India's third Gold so far!! 🇮🇳🥇✌  https://t.co/N6yD01xPND,positive,positive
#CWG2022 #weightlifting #JeremyLalrinnunga   ये आया गोल्ड  https://t.co/VyfRWINlNO,neutral,neutral
Gold for India  🥇🇮🇳  Congratulations @mirabai_chanu on winning gold at #CWG2022. The nation is proud of your achievement.  #CommonwealthGames  https://t.co/aD3rdc4qa1,positive,positive
महिला शक्ति ने जीती बाज़ी।  #CWG2022 में #Weightlifting में मीराबाई चानू को मिला गोल्ड!   बधाई।  https://t.co/BSsXyO9wMl,neutral,neutral
🇮🇳 #MirabaiChanu  #CWG2022  #CWG2022India,neutral,neutral
The golden girl of india 🏅🇮🇳 मीराबाई चानू  won India's first gold medal in commonwealth games.. What an incredible performance by her🇮🇳..made us PROUD again.🥳💐 #weightlifting  #CWG2022  #MirabaiChanu  #CommonwealthGames2022  https://t.co/jZashiiq6j,positive,positive
AND That's how we win!! Lovlina Borgohain’s coach gets CWG accreditation after ‘mental harassment’ tweet blows up.. urges Indian Olympic Association to arrange for accreditation... #LovlinaBorgohain #CWG2022  https://t.co/04zbloTctc,positive,positive
I have seen magic in squash game man A 14 yr old girl just toyed with her opponent M astounded #CWG2022,positive,neutral
"CWG 2022: India wins toss, opts to bat first in campaign opener against Australia  #INDvsAUS #CWG2022 #TeamIndia  https://t.co/gYoyV5aQEB",positive,positive
India's streak of winning medals in weightlifting breaks as Popy Hazarika secured 7th position in women's 59kg weightlifting category.  #CWG2022 #Weightlifting #India #JeremyLalrinnunga  https://t.co/1caEfbexSh,positive,positive
आज #CommonwealthGames2022 की भारोत्तोलन प्रतिस्पर्धा में सुश्री @mirabai_chanu ने ऐतिहासिक जीत दर्ज करते हुए माँ भारती को स्वर्ण पदक से गौरवभूषित किया है।  #CWG2022 में भारत के लिए प्रथम स्वर्ण पदक प्राप्त करने की आपको ढेरों बधाई और शुभकामनाएं!   हमें आप पर गर्व है।  जय हिंद!  https://t.co/j3E6HGod8E,neutral,neutral
"#CWG2022 Congratulations @SanketSargar , we are proud of you...  https://t.co/mrvN1H1TQ8",positive,positive
India starts with a win. Indian men hockey team beat Ghana 11-0 with Harmanpreet Singh scoring hat-trick. Jugraj Singh scores two #B2022 #CWG2022  https://t.co/GV9QyL4Fk9,positive,neutral
"For all the racism and hate, NorthEast has repaid it with Gold. 🥇 #CWG2022 #JeremyLalrinnunga #MirabaiChanu #Birmingham",negative,neutral
It was Mirabai Chanu’s 3rd consecutive medal at the #CommonwealthGames .   #CWG2022 #CommonwealthGames2022 #TNI #Insight  https://t.co/bzdOfoxbeU,positive,positive
#CWG2022 | Latest Medal Tally 🏅   #CommonwealthGames2022 | #Cheer4India | #B2022 |  https://t.co/4GscwNElfT,positive,positive
#CommonwealthGames2022   Indian weightlifter Jeremy Lalrinnunga wins Gold in Men's 67kg finals. This is India's second gold in Birmingham. Congratulations 🇮🇳🥇  #CWG2022  https://t.co/IzWw6wdhqA,positive,positive
भारत के युवाओं की ताकत है कि वे इतिहास रच रहे हैं।   @raltejeremy ने पहली बार राष्ट्रमंडल खेलों में भाग लेने के बावजूद #CWG2022 में पुरुषों की 67 किग्रा भारोत्तोलन में स्वर्ण पदक जीता।   उन्हें मेरी ओर से हार्दिक बधाई।,neutral,neutral
Commonwealth Games - Lawn Bowls  🇮🇳Tania Choudhury goes down 21-10 against Scotland's Dee Hoggan  #CommonwealthGames2022  #CommonwealthGames #Birmingham2022 #CWG2022  https://t.co/8QH8FdyDMi,neutral,neutral
#weightlifting #CWG2022 अभिनंदन,neutral,neutral
जेरेमी ने टोक्यो ओलंपिक में सिल्वर मेडल जीतने वाली मीराबाई चानू का शुक्रिया अदा किया है.  #CWG2022 #MeerabaiChanu #JeremyLalrinnunga   https://t.co/OZ8PxL2937,neutral,neutral
"CWG | Weightlifting (Men's 67kg): Jeremy Lalrinnunga leading the fray with best attempt of 140kg at end of Snatch round; a comfortable 10 kg lead over 2nd placed lifter.  And yes, this is a New Games Record 💪  #CWG2022  #CWG2022India  https://t.co/hJsleYukFL",positive,positive
By participating in #CWG2022 #Birmingham2022 #CommonwealthGames why do India still has to acknowledge that it was ruled by Britishers once??? Are we short of platforms??,neutral,negative
Hearty Congratulations to Jeremy Lalrinnunga for winning  gold🥇 medal in the men's 67 kg snatch event 🏋️‍♂️  #TeamIndia  #Cheer4India  #B2022 | #CWG2022  https://t.co/jE8xmr2NYp,positive,positive
Mark your calenders and set your alarm clocks! 🚨🗓⏱  Find out the full and detailed schedule of India's Lawn Bowls contingent at the Commonwealth Games 2022. 🇮🇳🔥  Will India manage to win their first ever Lawn Bowls medal at the games? 👀  #B2022 #CWG2022  https://t.co/G7qma8mtHz,positive,positive
पी. गुरुराजा जी को #CWG2022 वेटलिफ्टिंग में कांस्य पदक जीतने पर हार्दिक बधाई। #Cheer4India  https://t.co/TDASSYT7bG,neutral,neutral
"Sun, 31 Jul 2022 06:43 PM  #CWG2022 Live Updates: India Women beat Pakistan Women by 8 wickets in Cricket t20! #INDvPAK #IndWvsPakW #CWG2022India  https://t.co/doqfrtJ6ci",neutral,neutral
🇮🇳 ANOTHER GOLD FOR INDIA! Achinta Sheuli registers a new CWG record to win the 🥇  🙌🏼  #B2022 #CWG2022 #AchintaSheuli #CommonwealthGames #TeamIndia  #Sportwalk  https://t.co/qtV7fhuKgr,positive,positive
"Throwback to #Goa times. Beautiful place , beautiful vibe                                                          #CWG2022 #SummerSlam #BBNaija #Taiwan #BoycottLalSinghChaddha #IncomeTaxReturns #SanjayRaut #JeremyLalrinnunga  https://t.co/M80WgKISZ8",positive,positive
"The SUPERSTAR, he is just 19 years old.. !! #CWG2022  https://t.co/ZxahFvydmy",neutral,neutral
"Every flick of the racquet, every win of the point, is #RootedInNutrition. Which of these players would you be rooting for at the Commonwealth Games 2022?  #HerbalifeNutrition is the official nutrition partner of Team India at the #CWG2022  #HerbalifeIndia #Herbalife  https://t.co/nXslMh8MBL",positive,positive
"CWG 2022 : राष्ट्रकुल स्पर्धेत राहण्यासाठी 5 ठिकाणं, 72 तास आधी कोरोना चाचणी, महिला क्रिकेट संघासाठी वेगळी व्यवस्था, जाणून घ्या...  https://t.co/8kfbTieMBz #CWG2022 #CWG2022Webstories #indianwomencricketteam",neutral,neutral
Table Tennis Women's Event Match - 1 🇮🇳 Akula &amp; Tennison beat 🇿🇦 Edwards &amp; Patel in doubles 11-7 11-7 11-5!!  #CommonwealthGames2022 #CWG2022 #Tennison #Akula  #CommonwealthGames  https://t.co/c2K3tNbu10,neutral,neutral
🇮🇳 Lawn bowls CWG 2022  Men's Pairs - Section C - Round 5 India 18-15 England  #CWG2022 #Birmingham2022 #CWG2022India  @birminghamcg22 #TeamIndia #B2022 #CommonwealthGames #CommonwealthGames22 #LawnBowls  https://t.co/5m1hnU2beo,neutral,neutral
Congratulations to @mirabai_chanu For winning Gold medal in #CWG2022 in weightlifting. #CWG22 #MirabaiChanu  https://t.co/Js4Y7mTnbp,positive,positive
भारत को मिला पहला स्वर्ण पदक...!   #MirabaiChanu जी ने बर्मिंघम में इतिहास रचते हुए वेटलिफ्टिंग के 49 किलोग्राम वर्ग में देश के लिए पहला स्वर्ण पदक जीता। इस ऐतिहासिक उपलब्धि हेतु @mirabai_chanu जी को हार्दिक बधाई। #MirabaiChanu  #CWG2022  #Gold🥇  https://t.co/WJLzErrZUC,neutral,neutral
Another exciting day in Sutton Coldfield with the Triathlon and Para Triathlon taking place in Sutton Park and along Boldmere High St from 11am.   Come along and show your support to all the incredible athletes taking part  #CWG2022 #SuttonPark  https://t.co/Kq15gAl1RT,positive,positive
"PV Sindhu takes comfortable 11-4 lead against Pakistan's 7-time national champion, as they change sides.  #CWG2022 #B2022",positive,positive
Commonwealth Games 2022 betting - Australia W vs India W  Bet on Parimatch:  https://t.co/93hpxQwdVE  #CommonwealthGames2022 #CommonwealthGames #CWG2022 #CWG22 #AUWvINW #AUWvsINW  https://t.co/5cjja7NB5Y,neutral,neutral
Commonwealth Games 2022: India swimmer Srihari Nataraj qualifies for Men’s 100M Backstroke final after finishing 7th in semi-final  #CWG #CWG2022 #CommonwealthGames   https://t.co/FHTFHphO8k,neutral,neutral
"#PVSindhu, #ManpreetSingh to Hold #India's Flag High at #CWG2022 #CommonwealthGames 2022 #OpeningCeremony Live: https://t.co/MQS42qp77s  https://t.co/0JYjrwD28E",neutral,neutral
अपने हुनर को पहचानना और सही दिशा में प्रयासरत रहना हर किसी के बस की बात नहीं।एक छोटे से गांव से चलकर देश को गौरवान्वित करने का आपका ये सफर बेशक कई कठिनाइयों से गुजरा होगा।स्वार्डिम इतिहास रचने की बहुत बहुत बधाई एवम शुभकामनाएं #MirabaiChanu  #CWG2022  https://t.co/srb3JrV7un,neutral,neutral
#CWG2022 #B2022   Day three. ✅,neutral,neutral
"#SportsUpdate | காமன்வெல்த் - இந்தியா, பாகிஸ்தான் அணிகள் மோதல்!   | #INDvsPAK | #CommonWealthGames | #CWG2022 | @BCCIWomen  | #mdnewslive",neutral,neutral
Is this the cutest medal ceremony ever?! Samoa gave his ceremonial Ula Fala necklace to India. The hug at the end. I can't 🥺 @raltejeremy #B2022 #CWG2022  https://t.co/Qyp5b1soFN,positive,positive
Women's team sprint 🚴  India clock 750m in 51.433 secs. Australia have set the games record at 48.355 secs.   #TrackCycling #B2022 #CWG2022,neutral,neutral
🔥🙌🏼 LEGEND! Mirabai Chanu wins India's first Gold Medal at CWG 2022 with a combined lift of 197 kg⚡   #mirabaichanu  #CWG2022 #weightlifting #TeamIndia  https://t.co/5MuUdOhS3Y,positive,positive
"Condemning #homophobia, India's first openly #gay #athlete #DuteeChand has called for the #LGBTQ+ people to be allowed to #live #freely and #normally as any other #lawabiding #citizen. 👌🏽🙂👍🏽 #champion #Odisha #India #Athletics #pride #love #B2022 #CWG2022 #Commonwealthgames2022  https://t.co/fcFdhEL5Rf",neutral,positive
Commonwealth Games/Boxing  Pakistan's Nazeer Ullah Khan Lost Against England's Lewis Williams By 5-0 in Heavyweight Category.  #CommonwealthGames22 #Birmingham2022 #Pakistan #CWG2022 #B2022  https://t.co/SUPW1XfVv3,negative,negative
Loving the Progress Flag being worn by #TeamEngland.     Great Allyship bearing in mind that 35 of the Commonwealth’s 56 member states criminalise LGBT+ people.  🏳️‍🌈 🏳️‍⚧️ 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇧  #CommonwealthGames2022 #CWG2022 #Birmingham2022,positive,positive
"For the first time before an event, I've been looking forward and disappointed at the same time. I want to see our athletes in #CWG2022 succeed but at the same time, I've been interviewing those who deserved to go but were robbed of their chance.  No sugarcoating. More to come...",neutral,positive
@mirabai_chanu wins first Gold Medal 🥇 for India in @birminghamcg22   Congratulations Champ 👏  #Cheer4India  #IndiaTaiyaarHai  #India4CWG22  #mirabaichanu #weightlifting #commonwealthgames #cwg22 #cwg2022  https://t.co/87VS6MLTzT,positive,positive
“She will be here… in spirit.” Y God! She’s still alive bro! 😭  #CWG2022 #OpeningCeremony,positive,positive
Congratulations @mirabai_chanu For winning #CommonwealthGames2022 1st #GoldMedal 🥇for #India  #MeeraBaiChanu #CommonwealthGames #CWG2022 #Cheer4India #SaikhomMirabaiChanu🥇  https://t.co/CMNT8ebx8w,positive,positive
CWG 2022 Opening Ceremony Live  CWG 2022 LIVE✅  https://t.co/FgD2eClIG3  Date : 28 July - 8 August Birmingham Tickets for all other sports are still available.  Follow🔴  🗓️ Today ⏰ 11 PM onwards  #CWG2022  zxcx,neutral,neutral
#CWG2022 में देश को दूसरा गोल्ड दिलवाने के लिए वेटलिफ्टर जेरेमी लालरिनुंगा को हृदय से बधाई। मात्र 19 वर्ष की उम्र में अपने पहले कॉमनवेल्थ गेम्स में दो बार चोट लगने के बाद भी देश के लिए लड़ने और जीतने का आपका जज्बा वंदनीय है।  #Cheer4India  https://t.co/aqQp2rWD1m,neutral,neutral
"Heartiest Congratulations to the brilliant #MirabaiChanu - the first Gold winner for India at #CWG2022 🏋️‍♀️ ! You correctly said Lifting 201kg wasn't easy - But we all Indians must say now, you made the act look so easy! Best wishes for all the milestones that you seek to achieve.  https://t.co/fhxzyLYSQM",positive,positive
Congratulations #BindyaraniDevi for winning silver. India’s 4th medal of the day #CWG2022  https://t.co/Pptb2TsR46,positive,positive
🚨 𝗚𝗢𝗟𝗗 𝗨𝗣𝗗𝗔𝗧𝗘 🚨  1️⃣9️⃣-year-old #JeremyLalrinnunga adds #CWG2022 🥇to his already illustrious career. The Mizorami lifted 300 KG (140 S + 160 C&amp;J) in Men's 6️⃣7️⃣KG category.  #Weightlifting 🏋️ #B2022 🏟️  @NeelumArshad,neutral,neutral
राष्ट्रमंडल खेलों में भारतीय पुरुष हॉकी टीम ने जीत के साथ टूर्नामेंट की शुरुआत की है। भारत ने घाना को 11-0 से मात दी है।  #briflynews #hockey #hockeyteam #CWG #CWG2022   https://t.co/HRau3hWiFn,neutral,neutral
"Good going Shreeja, we are winning this!  #IndvFij #CWG2022",positive,positive
🚨 🏋️ 𝗨𝗣𝗗𝗔𝗧𝗘 🚨  #AchintaSheuli 🇮🇳 increased the weight of his 1️⃣st snatch attempt to 1️⃣3️⃣7️⃣ KG and lifted it with ease. 🌟  #Weightlifting 🏋️ #CWG2022 🏅 #B2022 🏟️,positive,positive
"#CWG2022 #B2022 #OpeningCeremony  Malala Yousofzai speaks of her experiences of growing up in Birmingham, studying at the library here, making best friends and finding herself in the c   https://t.co/edftjEojaB  https://t.co/ztHqXZrttg",positive,positive
#खुशी का पल 😍💯❤️ पहला #Gold ♥️ मीराबाई चानू 🔥  History is created! #MirabaiChanu wins gold at #CWG2022!!,positive,positive
CWG 2022: भारतीय महिला हॉकी टीम ने वेल्स को 3-1 से धोया   https://t.co/OObVEcnD8D via @fitsportsindia #CommonwealthGames #CommonwealthGames2022 #CWG2022 #Birminghamcommonwealthgames #CWG2022 #Sports #TeamIndia #HockeyImdia #Hockey @vikassharma1122,neutral,neutral
"Stellar performance, yet again! Congratulations to @mirabai_chanu bagging the gold in the #CWG2022 for weight lifting.  We are proud of you, Champion!  https://t.co/sohiNlJ4dv",positive,positive
113 Kgs successfully lifted. Incredible Incredible Champion for India. 201 Kgs in Total and still she's attempting. Proud Proud moment for India. #CWG2022 #CWG2022India #weightlifting,positive,positive
"A day to remember for #weightlifting as India bags 1 gold 🥇, two silver 🥈 and 1 bronze 🥉. #CWG2022 #Birmingham #CommonwealthGames2022.",neutral,neutral
Neeraj Chopra's statement on withdrawing from Commonwealth Games 👇  #CWG2022 #neerajchopra✌️ #commonwealthgames2022  https://t.co/EMNGkUA9k4,neutral,neutral
Newsy Sunday: Top stories today  #CWG2022  #SanjayRaut ED raids  https://t.co/HTxP8bXkdn,positive,positive
Another SILVER 🥈for India 🇮🇳   Bindyarani Devi has ensured all four weightlifters in competition today have won a medal #weightlifting   #CWG2022  https://t.co/8f6ep5CfZo,positive,positive
Heartiest congratulations to #MirabaiChanu who has brought the first gold to India at #CWG2022 #CWG #CWG2022India  https://t.co/dxpvd5ieiV,positive,positive
Congratulations India 🇮🇳  The Star Champion #MirabaiChanu wins India's first Gold Medal at CWG 2022 with a combined lift of 201 kg in Women’s 49 Kg Finals⚡  This is her 3rd Consecutive medal at #CommonwealthGames 👏🏻   #Gold 🥇  #B2022 #CWG2022  @mirabai_chanu  https://t.co/5ZEbae8peJ,positive,positive
भारतीय युवा वेटलिफ्टर जेरेमी लालरिनुंगा ने कॉमनवेल्थ गेम्स 2022 में कमाल कर दिया है. 19 साल के वेटलिफ्टर ने पुरुषों के 67 किलोग्राम भारवर्ग में गोल्ड मेडल जीता. #JeremyLalrinnunga #CWG2022 #CommonwealthGames2022  https://t.co/2WkBvi5mYR,neutral,neutral
कॉमनवेल्थ खेल में भारत को कांस्य पदक दिलाने के लिए गुरुराज पूजारी को हार्दिक बधाई एवं शुभकामनाएं💐 आप ने दुनियां के हर कोने में मौजूद भारतीयों 🇮🇳 को गौरवान्वित किया है ! #GururajaPoojary #Bronze #BronzeMedal #CWG2022India #CWG2022  https://t.co/Vze2NwEhEr,neutral,neutral
Another gold medal for India. #JeremyG #CWG2022  https://t.co/6vXd1cCIpw,positive,positive
CWG 2022: Neeraj ruled out of Commonwealth Games  https://t.co/bDe2xtNhOe #NeerajChopra  #CWG2022  #CommonwealthGames2022  #Javelin  #Indian  #sports,neutral,neutral
Smriti Mandhana 🤩 #INDvPAK  #SmritiMandhana  #CWG2022India  #CWG2022  https://t.co/uEbOxsAE9z,neutral,neutral
CONGRATULATIONS!  #JeremyLalrinnunga pulls off the second gold medal for India at #CWG2022 by setting a new games record with an overall lift of 300kg.  These consequent medals portray the stronger arms and image of the new and emerging Bharat.  https://t.co/JJ2vbmwvEK,positive,positive
@raltejeremy Many many congratulations 🎉 You have set an example for the youth. The way you fight is tremendous. #GoldMedal #CWG2022 #Proud_Of_INDIA #Jeremy_theGem_Of_india,positive,positive
आज #CommonwealthGames2022 की भारोत्तोलन प्रतिस्पर्धा में सुश्री @mirabai_chanu ने ऐतिहासिक जीत दर्ज करते हुए माँ भारती को स्वर्ण पदक से गौरवभूषित किया है।  #CWG2022 में भारत के लिए प्रथम स्वर्ण पदक प्राप्त करने की आपको ढेरों बधाई और शुभकामनाएं!  हमें आप पर गर्व है। जय हिंद!  https://t.co/TR9ZXiNaNa,neutral,neutral
1 Gold 🥇 for #IND 🇮🇳 शानदार @mirabai_chanu #MirabaiChanu #CWG2022,neutral,neutral
#CWG2022 #B2022  #Cycling   Women’s Sprint - Qualifying: Mayuri Lute and Triyasha Paul finish 20th and 23rd respectively. Top 16 riders qualify for 1/8 Finals.  Day 2 live blog:  https://t.co/S7ngowbxVJ  https://t.co/5GHWw2Zp8X,positive,positive
#SanketSargar #CWG2022,neutral,neutral
Jordar Jeremy..! 300kgs gold attempt Injured but undefeated 🥇 . . #CWG2022 #india #goldmedal #weightlifting #india #Champion  https://t.co/onu3JJNk32,negative,positive
#CWG2022 #B2022   #Boxing: That was actually getting a little bit scary for Nikhat Zareen's opponent. Relentless from the world champion and the bout is stopped in the third round.   https://t.co/mse3AmU45N  https://t.co/iYRAlL4XTy,positive,positive
#CWG2022 में रजत पदक जीतने के लिए #SanketSagar को हार्दिक बधाई।  सभी हिंदुस्तानियों को आप पर गर्व है।  https://t.co/X0N1z32CtG,neutral,neutral
Pakistan 🇵🇰 Hockey 🏑 Team at Commenwealth Games #CWG2022  https://t.co/GuIYeiJVsN,neutral,neutral
