title,bounty,coins,company,status,description,time
"Rapid Web Development - Intake/Survey Forms, Document Generation, ChatGPT Integration",$67.50,"6,750",lawtechusa,Open,"The goal is to be able to provide fixed cost document products online. User lands - selects a document type - fills a form - document is generated. Pays and exits. The engagement requires someone who can rapidly develop full stack web applications using https://shipfa.st/?ref=producthunt#pricing If you have not used this toolkit, I am willing to take a chance on you. This tool kit is for rapid development - so yes, there is an expectation to be fast and get bonus. Acceptance Criteria The final work product should be a mixture of https://capejustice.com/rent-claims-lawsuit?hsaacc=2804788235&hsacam=20257395514&hsagrp=150008289557&hsaad=661230599183&hsasrc=g&hsatgt=kwd-792066070446&hsakw=landlord+tenant+lawyer+georgia&hsamt=e&hsanet=adwords&hsaver=3&gad_source=1 AND https://www.kickemoutquick.com/index.html AND https://www.rocketlawyer.com/real-estate AND some ChatGPT integration that will be discussed offline.",due 4 days ago
Update embeddings and query script for chatbot,$49.50,"4,950",jbistro,Open,Update ingest script to summarize each chunk for greater context. Then update web app query script to take advantage of the new chunk metadata.,due 2 months ago
Image OCR tool (Azure microservice),$45.00,"4,500",adi42,Open,"# Problem Description We are building an LLM for enterprise software and looking to decouple data extraction from the rest of our pipeline. Our model uses data from a variety of sources including images, so we need a microservice that reliably extracts text from image input. Specifically, the service should extract _structured_ data from a folder of screenshots of [like this](https://tinyurl.com/8b4jpebx). The service should run `pytesseract` for extracting text from images. Before accepting this bounty, please note the following: - _You will need an Azure subscription to complete this bounty_ as the service should run in Azure. We will not be providing an Azure subscription but will test the deliverable using one. - One of the more challenging parts of the project is getting `pytesseract` to successfully run in Azure Functions directly from the Terraform code. # Acceptance Criteria - Microservice uses `pytesseract` to extract text from an image (via JSON form data) and max...",due 1 day ago
Web Scrape Sustainable Fiber and Packaging Companies,$45.00,"4,500",wawaugh,Open,"Web-scrape list of sustainable fiber companies globally with following details: -Company Name -Company HQ (City, Country) -Website -Funding Stage (e.g. Seed, Series A, etc) -$ Total Funding Raised to date (USD) -# Employees -Products (e.g. Fiber, Yarn, Textiles, Polybags) -Material Category (e.g. Polyester, Cotton, Paper) -Material Feedstocks (e.g. recycled textiles, banana leaves) -Manufacturing Locations -Contact Name -Contact Title -Contact Email Please send screenshot of sample output if possible. Will give preference for application with > # companies, quality output.",due 1 week ago
"SaaS AI Expert Platform with Django, React, and OpenAI Integration""",$45.00,"4,500",StrongLabs,Open,"We are developing a Software as a Service (SaaS) platform that enables businesses and creators to generate AI experts specialized in interpreting and interacting based on various content types, including video, ebooks, audio, and documents. The platform will facilitate the seamless integration and interaction of AI experts with users through a comprehensive user dashboard, a dedicated chat interface, and a payment system for subscriptions. Acceptance Criteria Full-Stack Developer Expertise: Proficiency in Django for backend development. Ability to create the frontend using React (with or without Next.js). Familiarity with the OpenAI API, as well as Telegram and WhatsApp APIs. Backend Development: Utilize Django for backend services. Implement LlamaIndex for retrieval and ChatGPT integration, with the ability to extend functionality in the future. Integrate Stripe for annual subscription payments. Develop a Chatbot API for AI expert communication, using either RES...",due 3 months from now
Fix Slow Audio Upload for Nurovant AI,$45.00,"4,500",TrevorGicheru,Open,"Bounty: Fix Slow Audio Upload for Nurovant AI Bug Overview When users attempt to upload audio recordings longer than 15 minutes over Wi-Fi to Nurovant's machine learning servers, the uploads are failing consistently. Shorter recordings upload successfully, indicating the root cause is the larger file size of the longer recordings. Users are able to upload the same long recordings without issue on a mobile network. This bug severely limits the use cases for Nurovant's audio analysis ML, as many important recordings are over 15 minutes. It needs to be fixed urgently. Reproduction Steps Connect device to Wi-Fi network Using Nurovant mobile app, select audio file longer than 15 minutes Attempt upload to Nurovant ML server Observe upload failure after a few minutes Expected Results The audio file should upload successfully to the Nurovant ML servers for processing regardless of length, both on Wi-Fi and mobile networks. iOS app built with react native front end. Hosted on GPU cloud plat...",due 4 weeks ago
Create concept animations for music video with AnimateDiff,$45.00,"4,500",jjeremycai,Open,Want to test a few music video ideas for a new music artist. You will use AnimateDiff (https://replicate.com/lucataco/animate-diff) to create short sequences and work with an editor stitch them together into full vids. Artist has a few ideas but wanted to work with an animator/artist to concept them out. Can turn into recurring work. Acceptance Criteria Share your past work Must have STYLE 💫,due 1 month ago
Drafts action to create gCal event with plain text,$45.00,"4,500",ArmandPatella,Open,"I am seeking a Drafts action that, when executed, will create an event in Google Calendar (gCal). The content of the Draft will determine the specifics of the calendar event. By default, if the Draft only contains a description with no date or time, the action should create an all-day event for the current day in gCal. However, if the Draft includes a date and/or time, the action should use that information to set the event's date and time in gCal. For reference, similar actions have been successfully implemented for the Fantastical app, as seen in these links: Fantastical Action 1 https://actions.getdrafts.com/a/1CM Fantastical Action 2 https://actions.getdrafts.com/a/1Ia Acceptance Criteria Running within Drafts - the text ""one hour test event October 1 2023"" should result in the creation of an event titled ""test event"" on October 1, 2023, in gCal. Given the problem, users might input calendar event times in various formats. Here are some potential permutation...",due 2 months ago
Replicate this site on ReplIT,$40.50,"4,050",lawtechusa,Open,"Several jobs in a law firm require inputs from the user and a letter or report generated. This project is for someone who is good at R.E, can code fast, use open source to their advantage and willing to question the ordinary. https://app.termly.io/builder/websites/e110554c-0a65-401f-afc4-0a2cb19ee394/documents/3480964/Collection%20of%20Information/Sensitive%20Personal%20Information%20Collected Acceptance Criteria Ditto look and feel. Remove any copyright stuff, of course.",due 6 days ago
Convert model in GazeML project from Tensorflow to Pytorch,$27.00,"2,700",gangluo,Open,"The git (https://github.com/swook/GazeML) project includes eye region landmark detection. I need the model to be converted from Tensorflow to Pytorch frame work. Acceptance Criteria Provide demo code that can detect eye region, iris, and pupil. Like the original project, show results with octogen. Technical Details Link to Project https://github.com/swook/GazeML",due 3 weeks ago
Bot for Resy.com,$22.50,"2,250",BirjuKadakia,Open,"Most restaurant dinner reservations at top restaurants get booked instantly via bots. I am therefore unable to get reservations that I want. Acceptance Criteria Acceptance Criteria I would like my own bot to instantly book Resy.com reservations for whatever restaurant I am interested in. There are already some Resy bot project code examples available on GitHub (example: https://github.com/Alkaar/resy-booking-bot) It should look at both restaurants on the day they make reservations available, and also look for cancellations on a regular high frequency period I need you to create a very easy-to-use web app for me to use. I am non-technical so it must be fully functional and intuitive Technical Details Timelines / Milestones",due 4 months ago
Create my own version of resybot.com/,$18.00,"1,800",ConnorTimmerma1,Open,Most restaurant dinner reservations at top restaurants get booked instantly via bots. I am therefore unable to get reservations that I want. Acceptance Criteria I would like my own bot to instantly book Resy.com reservations for whatever restaurant I am interested in. • I would like my own version of this website: https://www.resybot.com/ . It needs to be just as easy to use. Simple and easy. • There are already some Resy bot project code examples available on GitHub I need you to create a very easy-to-use web app for me to use. I am non-technical so it must be fully functional and intuitive,due 3 months ago
Tile Repeating Pattern JS,$9.00,900,AIAK,Open,I need a basic proof of concept to do the following. upload an image 1.1 check if the image can be tiled in a seamless pattern if yes continue if no then ask to upload a different image. Tile that image in a seamless repeating pattern Output that image to a folder Here is a site that does that we just need to do the same thing but wtih an API on the backed URL https://tylify.app Miscellaneous PWA ; Open Graph ; Webpack Analytics Google Analytics Security HSTS Font scripts Google Font API CDN Netlify Tag managers Google Tag Manager JavaScript libraries Hammer.js ; core-js JavaScript frameworks GSAP ; Vue.js ; Nuxt.js Web servers Nuxt.js PaaS Netlify Web frameworks Nuxt.js Programming languages Node.js Static site generators Nuxt.js,due 2 weeks from now
Crop faces in 9:16 from full videos in Python,$4.50,450,YashThakker2,Open,"Develop a scalable Python-based feature to analyze full-length videos and automatically crop significant sections or movements into short video formats with a 9:16 aspect ratio. This enhancement to our existing system should focus on both face detection and action-centric scenes, producing cropped videos around 1 minute in length. Acceptance Criteria Scalability: The solution must handle a large volume of videos efficiently. Face Detection Cropping: Intelligent division of the video to include all faces in scenarios with multiple faces. Action-Centric Cropping: Focus cropping on the action area in scenes without faces. Compatibility and Integration: Develop in Python, compatible with our current video analysis system. Aspect Ratio and Resolution: Maintain a 9:16 aspect ratio with configurable resolution settings. Accuracy and Quality: High accuracy in cropping without losing essential content. Performance: Balance between processing speed, accuracy, and scalabil...",due 2 days from now
Web & Mobile App + Open/Closed Source LLMs w/Memory,$810.00,"81,000",A152,Open,"Search based landing page with look and feel of Bing.com but better (unique color scheme) which allows users to interact with a default open source LLM (manager) without needing to login. If user decides to login, the default LLM (manager) must identify the user based on data in the user’s profile (user ID) and may assign the user engagement to another open source or closed source LLM (specialist) that has full history in support of all of that user’s historical interactions on the site or mobile app for personalized engagement with each user. Acceptance Criteria: fully functional engagement across all explicit and implicit (ie bio login & forgot password capability) expectations. Technical Details: Like Bing.com, users must be able to search and interact with LLMs on the site using microphone, images, and video or by clicking on the LLM logo button to the right of the search box. User engagement must be made available via website platform (desktop & mobile) ...",due 17 hours from now
lora-finetuning-and-inpainting-for-sdxl,$495.00,"49,500",Hasan96,Open,"Developing a codebase to lora fine-tune the Stable Diffusion XL (SDXL) model for specific image generation tasks using Google Colab. The fine-tuning process will leverage a provided dataset, consisting of images and corresponding textual prompts in .txt files, to tailor the model's outputs to a particular style or category of images (e.g., a specific product or theme). The enhanced SDXL model will also support inpainting, allowing the generation of images based on partial inputs and masks. Essentially, when given a masked image and a prompt, the model will generate and fill in the masked area with content that aligns with the fine-tuned context. Acceptance Criteria Google Colab Compatibility: The code should be executable within Google Colab without compatibility issues. 2.Dataset Input: The code must accept a zip folder containing images and corresponding .txt files with image prompts. It should be able to extract and utilize this data for fine-tuning. Fine-Tuni...",due 1 week ago
Develop a Lead Gen and Sales Automation Tool,$450.00,"45,000",ulrichkeller,Open,"Lead Gen and Sales Automation Tool Development Craft a tool facilitating the generation of email lead lists from various platforms and automating the initial sales outreach processes. Tasks: Lead Generation: Company Search: Leverage Google Custom Search, LinkedIn, and Instagram to compile company lists that align with user-set criteria. Individual Search: Pull lists of individuals using LinkedIn and company sites based on user-input parameters. Email Management: Generate potential contact emails. Authenticate them with a waterfall bounce check system. Data Processing Options: External Integration: Collaborate with third-party platforms, including Apollo, for data processing. In-house Operations: Create an in-house outreach functionality, possibly utilizing Google Sheets and Apps Script for integration. Key Requirements: Ensure the interface is user-centric, emphasizing usability while maintaining backend robustness. Incorporate a feature allowing the exportation of lists to Go...",due 4 weeks ago
Build a Personalized Streaming Service Demo w/QDrant & FirstBatch SDK,$300.00,"30,000",omerdemirtas,Open,"FirstBatch turns any website into an individually-crafted, personalized one without user data. This is possible through the power of embeddings and vector databases. The main value propositions of what FirstBatch is building: Real-time personalization that works on an individual level, without relying on user data. User Embeddings for introducing users to AI Agents, personalized LLM experiences Custom algorithms suiting specific needs, easily done in the dashboard All above without the need for session management Problem Description Streaming services (platforms like Netflix, Disney+, Prime Video, etc.) need to provide personalized recommendations to engage users and increase time on-site. Suggesting relevant movies/shows can significantly impact key metrics. Create a simple personalized video streaming demo that improves user engagement by utilizing QDrant for storing video vectors and integrating FirstBatch SDK for personalized recommendation flows. The demo should showcase how ...",due 2 days from now
Streamlit Staff Scheduling Tool,$207.00,"20,700",kylebolt1,Open,"I want to create a simple app in Streamlit, that will help auto-generate staff schedules/rosters. This is just an internal tool for our use, and not and end to end saas app. Here is an example use case: For a medical centre. It has 3 locations, and 2 receptionists and 2 Doctors assigned to each location. The locations are open 7 days a week from 9am to 8pm with a 1 hour lunch break. The staff should not work 2 weekends in a row. The staff should work at least 2 consecutive days in a row (so its not generating rosters like one day on, one day off etc). Purpose and Scope • Objective: To develop a Streamlit-based application for automatically generating staff schedules for a medical center with 3 locations. • Target Users: Administrative staff responsible for staff scheduling. • Scope: It should work for a variety of use cases. Focus on weekly schedules for receptionists and Doctors across three locations, adhering to specified working conditions and constraints. Features and Funct...",due 2 weeks from now
"Fast, reliable clone of perplexity.ai (backend)",$135.00,"13,500",drowsy-voyager,Open,"I want to create a script that reliably takes in a query, scrapes the top links(pages) from google search of that query, and allows for using RAG to generate a summary of the responses. This needs to be done very robustly and efficiently (not dealing with any web scraping issues, long document loading times, etc), as my use case is running this multiple times on lists of entities. i.e. a list of restaurants, i want to fill out a dataframe of their most popular menu items. 10,000 queries of what are the most popular menu items at {restaurant} in {location}? Script should pull from popular sources when necessary as google does (social media, tripadvisor, yelp,etc), and return something like this based off of the content scraped: 'The most popular specific menu items at Double Chicken Please are the Hot Honey fried chicken sandwich, the Salted Egg Yolk fried chicken sandwich, the New York Beet Salad cocktail, the French Toast cocktail, and the shiitake mushroom bar s...",due 4 weeks ago
Python API wrapper for DPO Group payments API,$90.00,"9,000",nyasour,Open,"I would like to build a python API wrapper around the DPO Group payments api to enable our users to purchase digital products in Aftica. Acceptance Criteria A python wrapper class that implements the DPO group payment API as detailed here https://docs.dpopay.com/api/index.html. The class has to be well thought through, written using best practices and be well documented. The main use cases we are looking to enable: Create a checkout page landing page url - based on specific set of products / prices If possible by the api, allow for charging directly without a landing page Return the list of available payment options in a country",due 5 days from now
fAIrm: surveys in chatbots,$90.00,"9,000",IvanLitovsky,Open,"GOAL: As a Product leader, I do user research all the time. Which can take the form of a) 1-1 interviews b) surveys Both are useful, but both have problems: 1) interviews allows to go in depth, ask follow-up questions to have a deep understanding of answers. but take a lot of time 2) surveys allow to have 10s, 100s, 1000s of answers, but when you ask free form questions, people usually remain vague in their answers (ex. ""what would you improve on Amazon"" > answer: ""the search results"". you want to ask follow-up question, ex. ""give us one ex. of poor search results, and why?"") #PROBLEM: Build an intermediate solution, between 1-1 interviews and surveys. that is: scalable (we can send it to 1000s of people) allows to deep-dive (we can ask follow-up questions to respondents) At first, the solution will be used by me, for my personal user research. As I validate the product, we can package it into a marketable product Acceptance Criteria For the user: a) similar to a GG form, I can sen...",due 1 month ago
Bug fixes and enhancements for a raffle app.,$72.00,"7,200",idea-man,Open,To enhance the comments checker app. Implement user login and use Instagram API instead of RapidAPI. Implement membership with stripe. UI enhancements according to design provided. Ability to save past giveaways and access recorded sessions.,due 2 months ago
Set up ImageBind as a FastAPI service and annotate the process,$54.90,"5,490",luquitared,Open,"Before reading the project requirements below, understand that you must also read the data annotation requirements for the data we'd like to collect when you are working on this project. Here are data annotation instructions: https://docs.google.com/document/d/1xtXSvZJHpVkbt4bVdK4IaXoGMlq1Wpk6huOM6EXhXY4/ Requirements: Create a repo that setups ImageBind behind a fastAPI server: https://github.com/facebookresearch/ImageBind Make endpoints for: indexing audio when storing audio, store the audio duration as metadata. allow user to store any other metadata as json. indexing images searching the index to find relevant images and audio Make a test function that tests each endpoint and prints the output.",due 3 weeks ago
Looking for CO-Founder in NYC area!,$45.00,"4,500",MoneyMitch3,Open,"Hello Replit, I'm excited to announce that I'm building an AI business and looking for a co-founder to join me on this exciting journey. I've already developed a prototype and received positive feedback from experts in the field, confirming the product-market fit. We're positioned for success, and seeking a passionate and dedicated co-founder who shares my vision and is committed to building a successful business. If you're a team player with a strong work ethic and a passion for AI, I'd love to hear from you. Together, we can create something truly remarkable and make a significant impact in the industry. Let's work together to make it happen! Acceptance Criteria -Needs to be in the NYC/NJ area. Willing to meet up. -Passionate to build. -AI - You should have a basic understanding of machine learning, deep learning, natural language processing, and computer vision. This is the meat and potatoes of your business. -Data, data, everywhere: You should have a ba...",due 1 month from now
Upload Amazon Purchases to eBay chrome extension,$45.00,"4,500",RohanBoutelle,Open,I want you to code a Google Chrome extension that can take what you have bought in the past on Amazon and be able to upload it on to eBay,due 2 months ago
DefiLlama adapter adapter,$36.00,"3,600",alllie,Open,"Defillama has a lot of adapters in https://github.com/DefiLlama/DefiLlama-Adapters, for their website and api (defillama.com). I need a standalone wrapper, or modified defilamma sdk, that can run each adapter, get the data out, and send it as a protobuf message to kafka. Protobuf definition should be defined including these keys because all the adapters return data that fall under these labels. ['tvl', 'staking', 'pool2', 'borrowed', 'treasury', 'offers', 'vesting'] along with timestamp. Acceptance Criteria A .proto definition Either a standalone wrapper or a modified defillama sdk that can send protobuf messages to a kafka broker endpoint. The adapters that connect directly to RPC must run. The adapters that depend on The Graph are optional but may work without any modification. Readme on how to run this small tests (to ensure cli args and options are working correctly) The deadline and bounty can be adjusted. Open to offers.",due 9 months ago
GPT + ElevenLabs(Voice) + Twilio(call) + Whatsapp(messages) + Langchain,$450.00,"45,000",BasharShahrour,Open,"The purpose of this project is to create an AI Contact Center which is run using GPT/Bard models that answers users questions over phone calls and Whatsapp messages. Acceptance Criteria Three main criteria: Ability to pick up calls and answer questions on the phone, and hand over to human agent or voicemail when necessary. Data/knowledgebase for answers provided by the admin user. Ability to make calls to a list of leads from a CSV file uploaded by a user. Ability to respond to questions over Whatsapp API and act as a chatbot, with ability to hand over to human . Have a front end for users. Reference: https://youtu.be/K7vHoUwClaM Technical Details Transcribe voice to text. Understand and respond to transcribed text. a. From script/ (Langchain) data. Synthesize voice (Eleven Labs). Record transcription. Ability to leave a voicemail message. a. Ability to recognize when people don't pick up the phone. Use CSV file excel sheet of phone numbers to call prospe...",due 4 weeks from now
☥(Updated 2023.08.28) Create Open Source iOS & Mac App for HeyDATA.org💎💎💎💎💎💎💎,$300.00,"30,000",anksolado,Open,"Hello from San Francisco! Hi! I'm Adam. I'm an AI SW Engineer with too many ideas, and not enough engineers! 😅 Problem Description Leveraging DATA's one-click-install, build an iOS & Mac app that allows non-technical users to get started with DATA, without a hitch. Acceptance Criteria ❤️ To Apply, please help me understand, that you understand the requirements. Do you have any experience with the HeyDATA.org platform? It's Open Source, but very technically complex, and challenging for even the most intelligent engineers. ❤️ ""Always Allow"" happens automatically, every time, so that the system turns on ALL PRIVATE DATA, so they can prepare for Superman Mode: Superman Mode is described here - 90% of this is already working on my phone; we've been in stealth mode for MONTHS - 🚀 for details Technical Details Use LANDER by default, so that the user doesn't have to have an OpenAI key NO API KEYS should be needed in setup! Only in an Advanced Settings tab somewhere. KEEP IT DEAD SIMPLE F...",due 2 months ago
